timestamp,open,high,low,close,volume
2024-11-03 13:30:12.049704000,100.0,103.42,97.46,101.5,2640.6481
2024-11-03 13:45:12.075389664,101.5,103.69,99.09,101.08,2743.9372
2024-11-03 14:00:12.101075329,101.08,103.41,100.97,103.07,2050.1847
2024-11-03 14:15:12.126760993,103.07,108.95,102.86,107.89,5544.5027
2024-11-03 14:30:12.152446658,107.89,107.96,105.86,107.13,3916.5417
2024-11-03 14:45:12.178132322,107.13,108.33,106.06,106.39,4182.9309
2024-11-03 15:00:12.203817987,106.39,111.98,106.09,111.55,2696.6742
2024-11-03 15:15:12.229503651,111.55,114.88,110.34,114.15,4644.8889
2024-11-03 15:30:12.255189316,114.15,115.56,107.15,112.56,3053.3136
2024-11-03 15:45:12.280874980,112.56,119.17,112.36,114.41,3066.2787
2024-11-03 16:00:12.306560645,114.41,115.43,112.11,112.84,2814.5954
2024-11-03 16:15:12.332246309,112.84,113.75,110.5,111.28,3641.6618
2024-11-03 16:30:12.357931974,111.28,112.17,110.16,112.1,2029.6365
2024-11-03 16:45:12.383617639,112.1,114.69,104.37,105.85,2889.6482
2024-11-03 17:00:12.409303303,105.85,107.28,99.82,100.52,5802.4104
2024-11-03 17:15:12.434988968,100.52,101.17,96.88,98.85,2005.0469
2024-11-03 17:30:12.460674632,98.85,100.04,95.85,95.9,4241.717
2024-11-03 17:45:12.486360297,95.9,98.38,95.77,96.82,1777.4385
2024-11-03 18:00:12.512045961,96.82,97.04,93.28,94.22,2818.2839
2024-11-03 18:15:12.537731626,94.22,94.71,89.4,90.32,6394.0058
2024-11-03 18:30:12.563417290,90.32,96.38,90.07,94.4,6656.0117
2024-11-03 18:45:12.589102955,94.4,95.13,93.44,93.77,1269.1363
2024-11-03 19:00:12.614788619,93.77,95.57,93.58,93.97,2635.1759
2024-11-03 19:15:12.640474284,93.97,96.35,88.45,90.05,5849.7454
2024-11-03 19:30:12.666159949,90.05,91.05,87.81,88.6,5522.7004
2024-11-03 19:45:12.691845613,88.6,91.01,86.85,88.91,4759.8746
2024-11-03 20:00:12.717531278,88.91,90.05,84.89,85.9,6222.7482
2024-11-03 20:15:12.743216942,85.9,87.41,85.32,86.89,2704.0667
2024-11-03 20:30:12.768902607,86.89,87.07,84.57,85.35,5255.5925
2024-11-03 20:45:12.794588271,85.35,86.79,84.04,84.62,2634.7841
2024-11-03 21:00:12.820273936,84.62,86.47,81.22,83.12,2202.072
2024-11-03 21:15:12.845959600,83.12,87.9,81.72,87.88,3374.7542
2024-11-03 21:30:12.871645265,87.88,90.4,86.93,87.86,2004.8057
2024-11-03 21:45:12.897330929,87.86,88.53,84.48,85.13,5365.7817
2024-11-03 22:00:12.923016594,85.13,87.58,84.02,87.28,2174.6337
2024-11-03 22:15:12.948702259,87.28,88.07,82.7,84.15,4380.818
2024-11-03 22:30:12.974387923,84.15,84.89,83.37,84.7,4265.3187
2024-11-03 22:45:13.000073588,84.7,86.82,78.47,79.88,4449.3785
2024-11-03 23:00:13.025759252,79.88,80.52,76.62,76.78,5873.3989
2024-11-03 23:15:13.051444917,76.78,77.92,74.99,77.25,4345.1142
2024-11-03 23:30:13.077130581,77.25,79.93,75.72,78.99,2157.6803
2024-11-03 23:45:13.102816246,78.99,79.81,78.71,79.42,3036.0595
2024-11-04 00:00:13.128501910,79.42,79.9,76.48,79.16,2731.5137
2024-11-04 00:15:13.154187575,79.16,80.85,76.41,78.47,2651.0656
2024-11-04 00:30:13.179873239,78.47,79.11,73.26,75.08,3835.8853
2024-11-04 00:45:13.205558904,75.08,75.33,73.1,73.49,3831.2095
2024-11-04 01:00:13.231244569,73.49,75.0,71.92,72.5,3302.4961
2024-11-04 01:15:13.256930233,72.5,74.87,71.32,74.86,3283.7396
2024-11-04 01:30:13.282615898,74.86,76.78,73.49,75.65,5289.4605
2024-11-04 01:45:13.308301562,75.65,76.36,71.17,71.78,6836.7625
2024-11-04 02:00:13.333987227,71.78,73.64,71.02,72.5,3848.2411
2024-11-04 02:15:13.359672891,72.5,73.3,71.34,71.68,1716.7712
2024-11-04 02:30:13.385358556,71.68,72.35,68.94,70.26,2959.9631
2024-11-04 02:45:13.411044220,70.26,72.4,69.57,71.58,5559.4767
2024-11-04 03:00:13.436729885,71.58,74.88,71.28,73.85,2717.8638
2024-11-04 03:15:13.462415549,73.85,76.07,72.97,75.97,3892.0339
2024-11-04 03:30:13.488101214,75.97,77.57,73.7,74.1,5026.5274
2024-11-04 03:45:13.513786879,74.1,74.49,73.29,73.44,1884.237
2024-11-04 04:00:13.539472543,73.44,74.64,73.08,74.2,1315.6053
2024-11-04 04:15:13.565158208,74.2,77.24,74.14,76.43,4101.3005
2024-11-04 04:30:13.590843872,76.43,77.22,73.82,75.36,5570.1635
2024-11-04 04:45:13.616529537,75.36,76.84,74.0,74.96,5167.1974
2024-11-04 05:00:13.642215201,74.96,75.78,70.42,72.54,2660.7457
2024-11-04 05:15:13.667900866,72.54,72.91,69.3,70.01,4230.7992
2024-11-04 05:30:13.693586530,70.01,72.86,69.99,71.76,3477.9905
2024-11-04 05:45:13.719272195,71.76,75.17,71.61,74.77,4921.5981
2024-11-04 06:00:13.744957859,74.77,76.38,72.22,74.63,4706.631
2024-11-04 06:15:13.770643524,74.63,77.18,73.68,76.94,4572.1597
