timestamp,open,high,low,close,volume
2024-11-03 13:30:06.395943000,2500.0,2564.25,2464.14,2531.24,51690.0292
2024-11-03 14:30:06.806948822,2531.24,2567.93,2487.63,2522.55,116527.8986
2024-11-03 15:30:07.217954645,2522.55,2633.89,2514.72,2563.82,80207.6588
2024-11-03 16:30:07.628960467,2563.82,2684.62,2517.21,2663.46,122789.0444
2024-11-03 17:30:08.039966290,2663.46,2679.34,2637.64,2648.11,68656.7281
2024-11-03 18:30:08.450972112,2648.11,2661.28,2616.2,2632.89,56907.7796
2024-11-03 19:30:08.861977935,2632.89,2758.5,2580.4,2739.21,57869.6074
2024-11-03 20:30:09.272983758,2739.21,2801.47,2720.77,2792.62,147697.8184
2024-11-03 21:30:09.683989580,2792.62,2808.06,2675.63,2760.43,66554.514
2024-11-03 22:30:10.094995403,2760.43,2870.44,2701.71,2798.58,75765.5749
2024-11-03 23:30:10.506001225,2798.58,2814.1,2760.26,2766.84,47835.9766
2024-11-04 00:30:10.917007048,2766.84,2812.48,2704.02,2735.35,64016.1164
2024-11-04 01:30:11.328012870,2735.35,2785.22,2685.61,2752.54,83322.0039
2024-11-04 02:30:11.739018693,2752.54,2754.14,2593.35,2624.6,49214.6995
2024-11-04 03:30:12.150024516,2624.6,2632.63,2510.67,2514.45,133940.0671
2024-11-04 04:30:12.561030338,2514.45,2605.23,2431.32,2480.02,139498.6662
2024-11-04 05:30:12.972036161,2480.02,2540.91,2389.64,2418.71,154680.5115
2024-11-04 06:30:13.383041983,2418.71,2463.72,2399.41,2438.53,96302.8692
2024-11-04 07:30:13.794047806,2438.53,2451.82,2369.2,2384.56,106451.4573
2024-11-04 08:30:14.205053629,2384.56,2399.91,2292.24,2302.62,77539.4852
2024-11-04 09:30:14.616059451,2302.62,2434.07,2258.01,2389.42,138428.0691
2024-11-04 10:30:15.027065274,2389.42,2391.22,2374.16,2376.86,50346.1995
2024-11-04 11:30:15.438071096,2376.86,2400.49,2370.82,2381.82,98041.109
2024-11-04 12:30:15.849076919,2381.82,2395.97,2248.79,2299.42,123548.0879
2024-11-04 13:30:16.260082741,2299.42,2318.93,2266.72,2269.32,73673.5035
2024-11-04 14:30:16.671088564,2269.32,2282.35,2242.0,2276.64,69531.9737
2024-11-04 15:30:17.082094387,2276.64,2322.68,2204.04,2213.09,109964.8154
